"Agency","Subagency","accountID","Title","Obligation"
"Department of Veterans Affairs","Benefits Programs",1561,"Veterans Housing Benefit Program Fund Program Account",622673776.8
"Department of Veterans Affairs","Benefits Programs",1570,"Veterans Housing Benefit Program Fund Liquidating Account",986790.25
"Department of Veterans Affairs","Benefits Programs",1562,"Native American Veteran Housing Loan Program Account",2654458.09
"Department of Veterans Affairs","Benefits Programs",1560,"Vocational Rehabilitation Loans Program Account",527225.6
"Department of Veterans Affairs","Benefits Programs",1591,"Post-Vietnam Era",76556.83
"Department of Veterans Affairs","Benefits Programs",1590,"National Service Life Insurance Fund",416657620.1
"Department of Veterans Affairs","Benefits Programs",1592,"United States Government Life Insurance Fund",385135.76
"Department of Veterans Affairs","Benefits Programs",1594,"Veterans Special Life Insurance Fund",103562079.9
"Department of Veterans Affairs","Departmental Administration",1534,"Construction, Major Projects",210091403.64
"Department of Veterans Affairs","Departmental Administration",1535,"Construction, Minor Projects",164786054.54
"Department of Veterans Affairs","Departmental Administration",1557,"Grants for Construction of State Extended Care Facilities",98307.59
"Department of Veterans Affairs","Departmental Administration",1558,"Grants for the Construction of State Veterans Cemeteries",0
"Department of Veterans Affairs","Departmental Administration",1542,"General Administration",309388505.95
"Department of Veterans Affairs","Departmental Administration",1569,"Pershing Hall Revolving Fund",20624.55
"Department of Veterans Affairs","Departmental Administration",1564,"Board of Veterans Appeals",61968024.53
"Department of Veterans Affairs","Departmental Administration",1544,"General Operating Expenses",2022918796.1
"Department of Veterans Affairs","Departmental Administration",1554,"Office of Inspector General",80368993.72
"Department of Veterans Affairs","Departmental Administration",1551,"Information Technology Systems",2187916378.71
"Department of Veterans Affairs","Departmental Administration",1538,"National Cemetery Administration",158849816.22
"Department of Veterans Affairs","Departmental Administration",1589,"Department of Veterans Affairs Cemetery Gift Fund",82538.79
"Department of Veterans Affairs","Departmental Administration",1581,"National Cemetery Administration Facilities Operation Fund",0
"Department of Veterans Affairs","Departmental Administration",1578,"Supply Fund",650912814.1
"Department of Veterans Affairs","Departmental Administration",1579,"Franchise Fund",508530673.6
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2877,"Office of Assistant Secretary of the Army for Civil Works, Corps of Engineers, Civil",2720229
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2869,"Construction, Corps of Engineers-Civil",994272644.2
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2870,"Operation and Maintenance",1320120896
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2866,"Mississippi River and Tributaries",125410680.4
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2872,"Flood Control and Coastal Emergencies, Corps of Engineers, Civil",273547365.3
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2868,"Investigations, Corps of Engineers-Civil",65778771.12
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2873,"Regulatory Program, Corps of Engineers, Civil",105212860.78
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2876,"Formerly Utilized Sites Remedial Action Program",31760011.03
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2871,"Expenses, Corps of Engineers-Civil",85840359.45
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2883,"Expenses - Recovery Act",0
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2874,"Washington Aqueduct Capital Improvements",4432.3
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2888,"Payments to States, Flood Control Act of 1954, Corps of Engineers - Civil",0
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2887,"Hydraulic Mining in California, Debris Fund, Corps of Engineers-Civil",107274.56
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2889,"Maintenance and Operation of Dams and Other Improvements of Navigable Waters",2649301.35
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2885,"Revolving Fund, Corps of Engineers, Civil",3948158246
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2891,"Interagency America the Beautiful Pass Revenues",0
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2892,"Special Use Permit Fees",0
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2900,"Rivers and Harbors Contributed and Advance Funds, Corps of Engineers, Civil",208260030
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2898,"Coastal Wetlands Restoration Trust Fund",5663805.34
"US Agencies - Non-CFO Act","Corps of Engineers--Civil Works",2897,"South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund",0
"Department of Defense","Military Retirement",2904,"Payments to Military Retirement Fund",81192000000
"Department of Defense","Military Retirement",2994,"Department of Defense Military Retirement Fund",28788113952
"Department of Defense","Retiree Health Care",2951,"Payment to Department of Defense Medicare-Eligible Retiree Health Care Fund",5670000000
"Department of Defense","Retiree Health Care",2971,"Department of Defense",5887225848
"Department of Defense","Educational Benefits",2995,"Department of Defense",154020220.8
"Department of Defense","American Battle Monuments Commission",2297,"Salaries and Expenses",31970128.55
"Department of Defense","American Battle Monuments Commission",2298,"Foreign Currency Fluctuations Account",0
"Department of Defense","American Battle Monuments Commission",2301,"Contributions",0
"Department of Defense","Armed Forces Retirement Home",2569,"General Fund Payment",22000000
"Department of Defense","Armed Forces Retirement Home",2572,"Armed Forces Retirement Home",35417376.55
"Department of Defense","Cemeterial Expenses",1382,"Salaries and Expenses",17317191.48
"Department of Defense","Cemeterial Expenses",1383,"Construction, Cemeterial Expenses, Army",0
"Department of Defense","Cemeterial Expenses",1420,"National Military Cemeteries Concessions, Army",5600
"Department of Defense","Forest and Wildlife Conservation, Military Reservations",1068,"Wildlife Conservation, Etc., Military Reservations, Navy",103954.03
"Department of Defense","Forest and Wildlife Conservation, Military Reservations",1416,"Wildlife Conservation, Etc., Military Reservations, Army",696325.19
"Department of Defense","Forest and Wildlife Conservation, Military Reservations",1704,"Wildlife Conservation, Etc., Military Reservations, Air Force",595608.18
"Department of Defense","Forest and Wildlife Conservation, Military Reservations",1418,"Department of Defense",0
"Department of Defense","Selective Service System",2793,"Salaries and Expenses",9733364.2
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1758,"Office of Inspector General",24450111.74
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1759,"Office of Inspector General - Recovery Act",0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1754,"Science and Technology",383299021.06
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1756,"Energy Research and Development",0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1755,"Environmental Programs and Management",1145299590.38
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1773,"Exxon Valdez Settlement Fund",0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1757,"Buildings and Facilities",3635240.52
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1752,"State and Tribal Assistance Grants",396943982.3
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1751,"State and Tribal Assistance Grants - Recovery Act",0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1765,"Water Infrastructure Finance and Innovation Program Account",0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1762,"Payment to the Hazardous Substances Superfund",462580950.6
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1774,"Pesticide Registration Fund",4581701.49
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1766,"Reregistration and Expedited Processing Revolving Fund",10932496.37
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1767,"Revolving Fund for Certification and Other Services",0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1769,"Hazardous Waste Electronic Manifest System Fund",2523986.76
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1770,"Damage Assessment and Restoration Revolving Fund",320529.72
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1772,"Working Capital Fund",110180692.5
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1760,"Abatement, Control and Compliance Loan Program",0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1783,"Hazardous Substance Superfund",561536509.02
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1785,"Hazardous Substance Superfund - Recovery Act",280859.06
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1784,"Leaking Underground Storage Tank Trust Fund",105333065.5
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1786,"Leaking Underground Storage Tank Trust Fund Program - Recovery Act",0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies, click for account information)",1787,"Inland Oil Spill Programs",13777656.14
"US Agencies - Non-CFO Act","Executive Office of the President",204,"Salaries and Expenses, The White House",29783306.89
"US Agencies - Non-CFO Act","Executive Office of the President",171,"Compensation of the President",236910.02
"US Agencies - Non-CFO Act","Executive Office of the President",232,"Salaries and Expenses, Special Assistance to the President",2087090.79
"US Agencies - Non-CFO Act","Executive Office of the President",206,"Operating Expenses, Official Residence of the Vice President",82760.08
"US Agencies - Non-CFO Act","Executive Office of the President",231,"Council on Environmental Quality and Office of Environmental Quality, Executive",1334779.41
"US Agencies - Non-CFO Act","Executive Office of the President",180,"Salaries and Expenses, Office of Administration, Executive",47096883.11
"US Agencies - Non-CFO Act","Executive Office of the President",202,"Presidential Transition Administrative Support, Office of Administration",5700512.48
"US Agencies - Non-CFO Act","Executive Office of the President",207,"Salaries and Expenses, Office of Management and Budget",51161095.08
"US Agencies - Non-CFO Act","Executive Office of the President",233,"Salaries and Expenses, Office of National Drug Control Policy",10711399.86
"US Agencies - Non-CFO Act","Executive Office of the President",208,"Salaries and Expenses, Office of the United States Trade Representative",28749872.12
"US Agencies - Non-CFO Act","Executive Office of the President",179,"Unanticipated Needs",0
"US Agencies - Non-CFO Act","Executive Office of the President",175,"Data-Driven Innovation",22403.87
"US Agencies - Non-CFO Act","Executive Office of the President",177,"Partnership Fund for Program Integrity Innovation",0
"US Agencies - Non-CFO Act","Executive Office of the President",178,"Information Technology Oversight and Reform",12195189.61
"General Services Administration","Real Property Activities",1618,"Federal Buildings Fund",5826211195
"General Services Administration","Real Property Activities",1619,"Federal Buildings Fund - Recovery Act",0
"General Services Administration","Real Property Activities",1611,"Real Property Relocation",0
"General Services Administration","Real Property Activities",1623,"Expenses, Electronic Government (E-Gov) Fund",507603.98
"General Services Administration","Real Property Activities",1631,"Unconditional Gifts of Real, Personal, or Other Property",0
"General Services Administration","Supply and Technology Activities",1622,"Expenses of Transportation Audit Contracts and Contract Administration",8288539.69
"General Services Administration","Supply and Technology Activities",1616,"Acquisition Services Fund",5896759242
"General Services Administration","General Activities",1608,"Expenses, Government-Wide Policy",32784161.32
"General Services Administration","General Activities",1605,"Operating Expenses",30770851.47
"General Services Administration","General Activities",1604,"Office of Inspector General",29598244.65
"General Services Administration","General Activities",1606,"Office of Inspector General - Recovery Act",0
"General Services Administration","General Activities",1612,"Expenses, Electronic Government (E-Gov) Fund",0
"General Services Administration","General Activities",1602,"Allowances and Office Staff for Former Presidents",1687561.91
"General Services Administration","General Activities",1603,"Expenses, Presidential Transition",4511317.14
"General Services Administration","General Activities",1613,"Pre-Election Presidential Transition",4056082.73
"General Services Administration","General Activities",1625,"Acquisition Workforce Training Fund",6516923.35
"General Services Administration","General Activities",1621,"Federal Citizen Services Fund",30318558.37
"General Services Administration","General Activities",1617,"Working Capital Fund",394665557.1
"US Agencies - Non-CFO Act","Millennium Challenge Corporation",3189,"Expenses",53412516.06
"US Agencies - Non-CFO Act","Other International Assistance Programs",2242,"Economic Support Fund",2199192338.61
"US Agencies - Non-CFO Act","Other International Assistance Programs",2247,"Central America and the Caribbean Emergency Disaster Recovery Fund",0
"US Agencies - Non-CFO Act","Other International Assistance Programs",224,"Foreign Military Financing Program",4870042844.46
"US Agencies - Non-CFO Act","Other International Assistance Programs",225,"Pakistan Counterinsurgency Capability Fund",0
"US Agencies - Non-CFO Act","Other International Assistance Programs",223,"International Military Education and Training",64264261.73
"US Agencies - Non-CFO Act","Other International Assistance Programs",214,"Peacekeeping Operations",139246606.16
"US Agencies - Non-CFO Act","Other International Assistance Programs",222,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs",208228058.34
"US Agencies - Non-CFO Act","Other International Assistance Programs",220,"Nonproliferation and Disarmament Fund",0
"US Agencies - Non-CFO Act","Other International Assistance Programs",217,"Global Security Contingency Fund",2653689.39
"US Agencies - Non-CFO Act","Other International Assistance Programs",193,"Contribution to the African Development Bank",19574175
"US Agencies - Non-CFO Act","Other International Assistance Programs",191,"Contribution to the African Development Fund",100784147
"US Agencies - Non-CFO Act","Other International Assistance Programs",236,"Global Agriculture and Food Security Program",31978043
"US Agencies - Non-CFO Act","Other International Assistance Programs",189,"Contribution to the International Bank for Reconstruction and Development",13963421
"US Agencies - Non-CFO Act","Other International Assistance Programs",190,"Contribution to the International Finance Corporation",0
"US Agencies - Non-CFO Act","Other International Assistance Programs",182,"Global Environment Facility",96535755
"US Agencies - Non-CFO Act","Other International Assistance Programs",186,"Contribution to the International Development Association",686815615
"US Agencies - Non-CFO Act","Other International Assistance Programs",194,"Contribution to the Multilateral Investment Guarantee Agency",0
"US Agencies - Non-CFO Act","Other International Assistance Programs",185,"Contribution to the Inter-American Development Bank",21939727
"US Agencies - Non-CFO Act","Other International Assistance Programs",188,"Contribution to the Asian Development Bank",0
"US Agencies - Non-CFO Act","Other International Assistance Programs",183,"Contribution to the Asian Development Fund",60227346
"US Agencies - Non-CFO Act","Other International Assistance Programs",196,"Contribution to the European Bank for Reconstruction and Development",0
"US Agencies - Non-CFO Act","Other International Assistance Programs",212,"Contribution to the North American Development Bank",0
"US Agencies - Non-CFO Act","Other International Assistance Programs",215,"Contributions to the International Fund for Agricultural Development",18318861
"US Agencies - Non-CFO Act","Other International Assistance Programs",218,"International Affairs Technical Assistance",29279232.07
"US Agencies - Non-CFO Act","Other International Assistance Programs",1122,"International Organizations and Programs",1354156
"US Agencies - Non-CFO Act","Other International Assistance Programs",199,"Debt Restructuring",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2234,"Development Assistance",1529243545.9
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2235,"Food and Nutrition, Development Assistance, Economic Assistance",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2236,"Population Planning and Health, Development Assistance, Economic Assistance",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2237,"Education and Human Resources Development, Development Assistance, Economic Assistance",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2246,"Child Survival and Health Program Fund",564941.7
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2240,"HIV/AIDS Working Capital Fund",314981121
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2232,"Sub-Saharan Africa",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2231,"Sahel Development Program",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2222,"Assistance for Europe, Eurasia, and Central Asia",227349432.87
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2230,"Assistance for Eastern Europe and the Baltic States",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2245,"Assistance for the Independent States of the Former Soviet Union",72350
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2241,"International Disaster Assistance",902224141.5
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2244,"Sub-Saharan Africa Disaster Assistance",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2227,"Operating Expenses of the United States Agency for International Development",535845381.19
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2217,"Capital Investment Fund of the United States Agency for International Development",2122237.56
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2238,"Transition Initiatives",11645786.92
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2225,"Assistance for the New Independent States of the Former Soviet Union:  Ukraine Export Credit Insurance Program Account",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2221,"Civilian Stabilization Initiative",445978.83
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2229,"Operating Expenses of the United States Agency for International Development",30758788.19
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2253,"Property Management Fund",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2263,"Working Capital Fund",5398418.68
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2264,"Acquisition of Property Revolving Fund",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2265,"Loan Guarantees to Israel Program",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2220,"Loans Guarantees to Egypt Program Account",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2226,"MENA Loan Guarantee Program Account",255312109
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2224,"Urban and Environmental Credit Program Account",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2255,"Housing and Other Credit Guaranty Programs, Liquidating Account",5016081.57
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2223,"Micro and Small Enterprise Development Program Account",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2256,"Private Sector Revolving Fund, Liquidating Account",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2248,"Development Credit Authority",5913628.27
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2250,"Development Loan Fund, Executive",3886121.66
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2272,"Foreign National Employees Separation Liability Fund",16358577.39
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2273,"Technical Assistance",0
"Agency for International Development","Agency for International Development (no sub-agencies, click for account information)",2274,"Gifts and Donations",37826339.76
"US Agencies - Non-CFO Act","Trade and Development Agency",210,"Trade and Development Agency",16267275.43
"US Agencies - Non-CFO Act","Peace Corps",200,"Peace Corps",198843739.14
"US Agencies - Non-CFO Act","African Development Foundation",209,"African Development Foundation",10904026.06
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2541,"Science",2438386751.74
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2547,"Aeronautics",244169970.74
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2550,"Space Technology",220883936.15
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2545,"Exploration",2102970225.42
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2548,"Education",17258945.39
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2543,"Safety, Security and Mission Services",2380344589.48
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2549,"Construction and Environmental Compliance and Restoration",189948371.57
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2538,"Space Flight Capabilities",2690471538.34
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2533,"Office of Inspector General",18515942.17
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2537,"Science, Aeronautics, and Exploration",179461.25
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2535,"Human Space Flight",0
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2534,"Science, Aeronautics and Technology",3728.54
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2536,"Mission Support",8.79
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2551,"Working Capital Fund",203861270.9
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2559,"Science, Space and Technology Education Trust Fund",500000
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2557,"Endeavor Teacher Fellowship Trust Fund",0
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2560,"Gifts and Donations",350000
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies, click for account information)",2558,"National Space Grant Program",0
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1632,"Research and Related Activities",1227226521.72
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1640,"Major Research Equipment and Facilities Construction",80382758.04
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1636,"Agency Operations and Award Management",166080423.97
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1639,"Office of the National Science Board",1932728.88
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1637,"Office of Inspector General",6417965.35
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1638,"Office of Inspector General - Recovery Act",0
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1634,"Education and Human Resources",110040996.39
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1642,"Salaries and Expenses, H-B Funded, Education  and Human Resources",30732374.49
"National Science Foundation","National Science Foundation (no sub-agencies, click for account information)",1644,"Donations",28675539.84
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1451,"Salaries and Expenses",169957046.55
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1456,"OPM Building Delegation Fund",4808064.78
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1454,"Salaries and Expenses",12790881.57
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1453,"Government Payment for Annuitants",6302557467
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1455,"Government Payment for Annuitants",21296244.4
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1452,"Payment to Civil Service Retirement and Disability Fund",18732000000
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1457,"Flexible Benefits Plan Reserve",6231403.36
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1459,"Postal Service Contributions for Retiree Health Benefits",1714019062
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1458,"Revolving Fund, Undistributed SIBAC Chargebacks for Philadelphia, PA",595943308.6
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1463,"Civil Service Retirement and Disability Fund",41780337254
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1464,"Employees' Life Insurance Fund",1499940829
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1466,"Retired Employees' Health Benefits Fund",168404.49
"Office of Personnel Management","Office of Personnel Management (no sub-agencies, click for account information)",1465,"Employees' Health Benefits Fund",25090944530
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2275,"Salaries and Expenses",295760784.17
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2296,"Business Assistance Trust Fund",5759.9
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2277,"Office of Inspector General",9907329.26
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2278,"Office of Inspector General - Recovery Act",0
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2279,"Office of Advocacy",3935337.45
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2280,"Entrepreneurial Development Programs",57723639.5
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2290,"Surety Bond Guarantees Revolving Fund",10187620.44
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2291,"Surety Bond Guarantees Revolving Fund - Recovery Act",4963.4
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2282,"Business Loans Program Account",82724292.57
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2289,"Business Loan and Investment Fund, Liquidating Account",383218.03
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2281,"Disaster Loans Program Account",83310897.25
"Small Business Administration","Small Business Administration (no sub-agencies, click for account information)",2288,"Disaster Loan Fund, Liquidating Account",54500.54
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1488,"Payments to Social Security Trust Funds",18493648933.1
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1495,"Payments for Credits Against Social Security Contributions",8168.38
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1490,"Administrative Costs",0
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1491,"Administrative Expenses",8413
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1489,"Supplemental Security Income Program",31234718051.77
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1486,"Special Benefits for Certain World War II Veterans",1533482.79
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1485,"Office of the Inspector General",49991740.31
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1492,"Limitation on Administrative Expenses - Recovery Act",0
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1496,"State Supplemental Fees",51170058.23
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1500,"Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed",397585298204
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1501,"Federal Disability Insurance Trust Fund - Treasury Managed",73238153347
"Social Security Administration","Social Security Administration (no sub-agencies, click for account information)",1502,"Salaries and Expenses",5873740246.35
"US Agencies - Non-CFO Act","Access Board",3028,"Salaries and Expenses",3856735.53
"US Agencies - Non-CFO Act","Advisory Council on Historic Preservation",3018,"Salaries and Expenses",4216847.63
"US Agencies - Non-CFO Act","Barry Goldwater Scholarship and Excellence in Education Foundation",3029,"Trust Fund, the Barry Goldwater Scholarship and Excellence in Education Fund",389828.68
"US Agencies - Non-CFO Act","Broadcasting Board of Governors",3177,"International Broadcasting Operations",336432521.93
"US Agencies - Non-CFO Act","Broadcasting Board of Governors",3178,"Broadcasting to Cuba",0
"US Agencies - Non-CFO Act","Broadcasting Board of Governors",3185,"Miscellaneous Trust Fund",0
"US Agencies - Non-CFO Act","Broadcasting Board of Governors",3176,"Broadcasting Capital Improvements",1177834
"US Agencies - Non-CFO Act","Broadcasting Board of Governors",3179,"Buying Power Maintenance",0
"US Agencies - Non-CFO Act","Broadcasting Board of Governors",3184,"Foreign Service National Separation Liability Trust Fund",244643.89
"US Agencies - Non-CFO Act","Bureau of Consumer Financial Protection",3208,"Bureau of Consumer Financial Protection Fund",314590505.2
"US Agencies - Non-CFO Act","Bureau of Consumer Financial Protection",3209,"Consumer Financial Civil Penalty Fund",34250771.54
"US Agencies - Non-CFO Act","Chemical Safety and Hazard Investigation Board",3166,"Salaries and Expenses",4876875.76
"US Agencies - Non-CFO Act","Chemical Safety and Hazard Investigation Board",3167,"Emergency Fund",0
"US Agencies - Non-CFO Act","Commission of Fine Arts",3033,"Salaries and Expenses",1206749.79
"US Agencies - Non-CFO Act","Commission of Fine Arts",3034,"National Capital Arts and Cultural Affairs",0
"US Agencies - Non-CFO Act","Commission on Civil Rights",3037,"Salaries and Expenses",4758255.91
"US Agencies - Non-CFO Act","Committee for Purchase from People who are Blind or Severely Disabled",3039,"Salaries and Expenses",2730845.99
"US Agencies - Non-CFO Act","Commodity Futures Trading Commission",3040,"Expenses",119709735.48
"US Agencies - Non-CFO Act","Commodity Futures Trading Commission",3041,"Commodity Futures Trading Commission Customer Protection Fund",6473294.4
